mes,anio,mes_anio,colonia,consumo,rezago,total,consec_mes
feb,2018,feb/2018,LA REDONDA,2655,7908,10563,201802
feb,2018,feb/2018,LINDAVISTA,1786,10124.4,11910.4,201802
feb,2018,feb/2018,RASTRO,1750,8109.7,9859.7,201802
feb,2018,feb/2018,REY NAYAR,6256,21047.9,27303.9,201802
feb,2018,feb/2018,SAN ANTONIO,3377,11058.5,14435.5,201802
feb,2018,feb/2018,TALPITA,8615,4425.5,13040.5,201802
feb,2018,feb/2018,TIJUANITA,7875,16189.1,24064.1,201802
feb,2018,feb/2018,TIRO AL BLANCO,1210,7025.9,8235.9,201802
feb,2018,feb/2018,UNIDAD DEPORTIVA,360,4362.9,4722.9,201802
mar,2018,mar/2018,ACHOTA,4123,15954,20077,201803
mar,2018,mar/2018,BENITO JUAREZ,702,1328.3,2030.3,201803
mar,2018,mar/2018,CAPOMAL,76,548.3,624.3,201803
mar,2018,mar/2018,CENTRO,8058,35682.3,43740.3,201803
mar,2018,mar/2018,CERRO,7895,15029.2,22924.2,201803
mar,2018,mar/2018,EMILIO M. GONZALEZ,0,0,0,201803
mar,2018,mar/2018,GUAYABAL,0,0,0,201803
mar,2018,mar/2018,LA LADRILLERA,747,2680.6,3427.6,201803
mar,2018,mar/2018,LA REDONDA,774,14235.9,15009.9,201803
mar,2018,mar/2018,LINDAVISTA,185,2771.2,2956.2,201803
mar,2018,mar/2018,RASTRO,609,12689.2,13298.2,201803
mar,2018,mar/2018,REY NAYAR,1817,4447.5,6264.5,201803
mar,2018,mar/2018,SAN ANTONIO,2352,7453,9805,201803
mar,2018,mar/2018,TALPITA,3035,13982.3,17017.3,201803
mar,2018,mar/2018,TIJUANITA,1975,17363.9,19338.9,201803
mar,2018,mar/2018,TIRO AL BLANCO,464,6484.3,6948.3,201803
mar,2018,mar/2018,UNIDAD DEPORTIVA,382,2733.5,3115.5,201803
abr,2018,abr/2018,ACHOTA,3527,5868.3,9395.3,201804
abr,2018,abr/2018,BENITO JUAREZ,142,393,535,201804
abr,2018,abr/2018,CAPOMAL,38,38,76,201804
abr,2018,abr/2018,CENTRO,6933,22455,29388,201804
abr,2018,abr/2018,CERRO,2170,5164.1,7334.1,201804
abr,2018,abr/2018,EMILIO M. GONZALEZ,0,0,0,201804
abr,2018,abr/2018,GUAYABAL,0,0,0,201804
abr,2018,abr/2018,LA LADRILLERA,98,60,158,201804
abr,2018,abr/2018,LA REDONDA,1913,12573.2,14486.2,201804
abr,2018,abr/2018,LINDAVISTA,109,1917,2026,201804
abr,2018,abr/2018,RASTRO,38,0,38,201804
abr,2018,abr/2018,REY NAYAR,643,1920.1,2563.1,201804
abr,2018,abr/2018,SAN ANTONIO,3251,4825.1,8076.1,201804
abr,2018,abr/2018,TALPITA,1289,2379.7,3668.7,201804
abr,2018,abr/2018,TIJUANITA,2260,6167.9,8427.9,201804
abr,2018,abr/2018,TIRO AL BLANCO,593,3522.4,4115.4,201804
abr,2018,abr/2018,UNIDAD DEPORTIVA,376,1781.6,2157.6,201804
may,2018,may/2018,ACHOTA,578,7713.8,8291.8,201805
may,2018,may/2018,BENITO JUAREZ,327,707.8,1034.8,201805
may,2018,may/2018,CAPOMAL,342,1128.5,1470.5,201805
may,2018,may/2018,CENTRO,4191,24073,28264,201805
may,2018,may/2018,CERRO,1333,1515,2848,201805
may,2018,may/2018,EMILIO M. GONZALEZ,0,0,0,201805
may,2018,may/2018,GUAYABAL,0,0,0,201805
may,2018,may/2018,LA LADRILLERA,109,142,251,201805
may,2018,may/2018,LA REDONDA,1231,1250.7,2481.7,201805
may,2018,may/2018,LINDAVISTA,38,152,190,201805
may,2018,may/2018,RASTRO,360,5841.8,6201.8,201805
may,2018,may/2018,REY NAYAR,1369,1942.2,3311.2,201805
may,2018,may/2018,SAN ANTONIO,744,418,1162,201805
may,2018,may/2018,TALPITA,609,1477.2,2086.2,201805
may,2018,may/2018,TIJUANITA,479,10083.9,10562.9,201805
may,2018,may/2018,TIRO AL BLANCO,294,588,882,201805
may,2018,may/2018,UNIDAD DEPORTIVA,409,5008.7,5417.7,201805
jun,2018,jun/2018,ACHOTA,1527,6121.8,7648.8,201806
jun,2018,jun/2018,BENITO JUAREZ,223,1275.6,1498.6,201806
jun,2018,jun/2018,CAPOMAL,38,176,214,201806
jun,2018,jun/2018,CENTRO,2328,11114.8,13442.8,201806
jun,2018,jun/2018,CERRO,381,955.7,1336.7,201806
jun,2018,jun/2018,EMILIO M. GONZALEZ,0,494.8,494.8,201806
jun,2018,jun/2018,GUAYABAL,0,0,0,201806
jun,2018,jun/2018,LA LADRILLERA,98,273,371,201806
jun,2018,jun/2018,LA REDONDA,966,5041.8,6007.8,201806
jun,2018,jun/2018,LINDAVISTA,147,393,540,201806
jun,2018,jun/2018,RASTRO,484,11000,11484,201806
jun,2018,jun/2018,REY NAYAR,709,1640.3,2349.3,201806
jun,2018,jun/2018,SAN ANTONIO,484,3471.4,3955.4,201806
jun,2018,jun/2018,TALPITA,375,403,778,201806
jun,2018,jun/2018,TIJUANITA,730,9768.3,10498.3,201806
jun,2018,jun/2018,TIRO AL BLANCO,600,1396,1996,201806
jun,2018,jun/2018,UNIDAD DEPORTIVA,316,316,632,201806
jul,2018,jul/2018,ACHOTA,332,1526.8,1858.8,201807
jul,2018,jul/2018,BENITO JUAREZ,710,639,1349,201807
jul,2018,jul/2018,CAPOMAL,76,633.9,709.9,201807
jul,2018,jul/2018,CENTRO,3303,9663.8,12966.8,201807
jul,2018,jul/2018,CERRO,2222,16420.6,18642.6,201807
jul,2018,jul/2018,EMILIO M. GONZALEZ,0,0,0,201807
jul,2018,jul/2018,GUAYABAL,0,0,0,201807
jul,2018,jul/2018,LA LADRILLERA,76,228,304,201807
jul,2018,jul/2018,LA REDONDA,256,1549.4,1805.4,201807
jul,2018,jul/2018,LINDAVISTA,0,71,71,201807
jul,2018,jul/2018,RASTRO,71,71,142,201807
jul,2018,jul/2018,REY NAYAR,922,1861.3,2783.3,201807
jul,2018,jul/2018,SAN ANTONIO,342,1681.2,2023.2,201807
jul,2018,jul/2018,TALPITA,185,2471.8,2656.8,201807
jul,2018,jul/2018,TIJUANITA,1394,7826.8,9220.8,201807
jul,2018,jul/2018,TIRO AL BLANCO,0,474.9,474.9,201807
jul,2018,jul/2018,UNIDAD DEPORTIVA,1031,691,1722,201807
ago,2018,ago/2018,ACHOTA,1089,7892.8,8981.8,201808
ago,2018,ago/2018,BENITO JUAREZ,142,540,682,201808
ago,2018,ago/2018,CAPOMAL,38,0,38,201808
ago,2018,ago/2018,CENTRO,3160,21013.7,24173.7,201808
ago,2018,ago/2018,CERRO,1078,11115.6,12193.6,201808
ago,2018,ago/2018,EMILIO M. GONZALEZ,71,497,568,201808
ago,2018,ago/2018,GUAYABAL,0,0,0,201808
ago,2018,ago/2018,LA LADRILLERA,207,354,561,201808
ago,2018,ago/2018,LA REDONDA,403,3087.5,3490.5,201808
ago,2018,ago/2018,LINDAVISTA,414,420,834,201808
ago,2018,ago/2018,RASTRO,71,0,71,201808
ago,2018,ago/2018,REY NAYAR,900,1525.3,2425.3,201808
ago,2018,ago/2018,SAN ANTONIO,288,4486.7,4774.7,201808
ago,2018,ago/2018,TALPITA,654,3281.3,3935.3,201808
ago,2018,ago/2018,TIJUANITA,973,9066.5,10039.5,201808
ago,2018,ago/2018,TIRO AL BLANCO,431,1649.6,2080.6,201808
ago,2018,ago/2018,UNIDAD DEPORTIVA,267,98,365,201808
sep,2018,sep/2018,ACHOTA,1187,2168,3355,201809
sep,2018,sep/2018,BENITO JUAREZ,332,2152.1,2484.1,201809
sep,2018,sep/2018,CAPOMAL,190,304,494,201809
sep,2018,sep/2018,CENTRO,2086,8207.5,10293.5,201809
sep,2018,sep/2018,CERRO,844,2862.3,3706.3,201809
sep,2018,sep/2018,EMILIO M. GONZALEZ,0,0,0,201809
sep,2018,sep/2018,GUAYABAL,0,0,0,201809
sep,2018,sep/2018,LA LADRILLERA,158,0,158,201809
sep,2018,sep/2018,LA REDONDA,643,3768.8,4411.8,201809
sep,2018,sep/2018,LINDAVISTA,529,3860.5,4389.5,201809
sep,2018,sep/2018,RASTRO,120,840,960,201809
sep,2018,sep/2018,REY NAYAR,960,6164.8,7124.8,201809
sep,2018,sep/2018,SAN ANTONIO,1387,1797,3184,201809
sep,2018,sep/2018,TALPITA,278,622,900,201809
sep,2018,sep/2018,TIJUANITA,991,7443,8434,201809
sep,2018,sep/2018,TIRO AL BLANCO,0,1303,1303,201809
sep,2018,sep/2018,UNIDAD DEPORTIVA,300,189,489,201809
oct,2018,oct/2018,ACHOTA,849,832,1681,201810
oct,2018,oct/2018,BENITO JUAREZ,180,3364.2,3544.2,201810
oct,2018,oct/2018,CAPOMAL,0,90,90,201810
oct,2018,oct/2018,CENTRO,1907,10333.5,12240.5,201810
oct,2018,oct/2018,CERRO,528,3590.6,4118.6,201810
oct,2018,oct/2018,EMILIO M. GONZALEZ,213,3566.6,3779.6,201810
oct,2018,oct/2018,GUAYABAL,0,0,0,201810
oct,2018,oct/2018,LA LADRILLERA,38,0,38,201810
oct,2018,oct/2018,LA REDONDA,567,4572.5,5139.5,201810
oct,2018,oct/2018,LINDAVISTA,0,551.2,551.2,201810
oct,2018,oct/2018,RASTRO,360,4699.2,5059.2,201810
oct,2018,oct/2018,REY NAYAR,442,3257.9,3699.9,201810
oct,2018,oct/2018,SAN ANTONIO,305,2946.7,3251.7,201810
oct,2018,oct/2018,TALPITA,398,1814.7,2212.7,201810
oct,2018,oct/2018,TIJUANITA,1024,11196,12220,201810
oct,2018,oct/2018,TIRO AL BLANCO,109,180,289,201810
oct,2018,oct/2018,UNIDAD DEPORTIVA,207,38,245,201810
nov,2018,nov/2018,ACHOTA,758,6435.2,7193.2,201811
nov,2018,nov/2018,BENITO JUAREZ,474,4409.6,4883.6,201811
nov,2018,nov/2018,CAPOMAL,114,774.1,888.1,201811
nov,2018,nov/2018,CENTRO,1405,10134.1,11539.1,201811
nov,2018,nov/2018,CERRO,430,1284,1714,201811
nov,2018,nov/2018,EMILIO M. GONZALEZ,0,0,0,201811
nov,2018,nov/2018,GUAYABAL,0,0,0,201811
nov,2018,nov/2018,LA LADRILLERA,158,190.2,348.2,201811
nov,2018,nov/2018,LA REDONDA,332,1576.8,1908.8,201811
nov,2018,nov/2018,LINDAVISTA,71,985.6,1056.6,201811
nov,2018,nov/2018,RASTRO,71,142,213,201811
nov,2018,nov/2018,REY NAYAR,453,0,453,201811
nov,2018,nov/2018,SAN ANTONIO,185,1399.6,1584.6,201811
nov,2018,nov/2018,TALPITA,272,870,1142,201811
nov,2018,nov/2018,TIJUANITA,943,5948.1,6891.1,201811
nov,2018,nov/2018,TIRO AL BLANCO,213,332,545,201811
nov,2018,nov/2018,UNIDAD DEPORTIVA,289,1266,1555,201811
dic,2018,dic/2018,ACHOTA,2398,25767.2,28165.2,201812
dic,2018,dic/2018,BENITO JUAREZ,289,4841.7,5130.7,201812
dic,2018,dic/2018,CAPOMAL,251,3307.6,3558.6,201812
dic,2018,dic/2018,CENTRO,7677,96179.5,103856.5,201812
dic,2018,dic/2018,CERRO,2482,54250.2,56732.2,201812
dic,2018,dic/2018,EMILIO M. GONZALEZ,71,781,852,201812
dic,2018,dic/2018,GUAYABAL,0,0,0,201812
dic,2018,dic/2018,LA LADRILLERA,676,7853.8,8529.8,201812
dic,2018,dic/2018,LA REDONDA,899,10762,11661,201812
dic,2018,dic/2018,LINDAVISTA,1151,14409.5,15560.5,201812
dic,2018,dic/2018,RASTRO,349,5420.8,5769.8,201812
dic,2018,dic/2018,REY NAYAR,1189,14410.4,15599.4,201812
dic,2018,dic/2018,SAN ANTONIO,616,6069.7,6685.7,201812
dic,2018,dic/2018,TALPITA,731,12462.2,13193.2,201812
dic,2018,dic/2018,TIJUANITA,3643,39934.3,43577.3,201812
dic,2018,dic/2018,TIRO AL BLANCO,529,6395.4,6924.4,201812
dic,2018,dic/2018,UNIDAD DEPORTIVA,534,3584.1,4118.1,201812
ene,2019,ene/2019,ACHOTA,25899,12690.3,38589.3,201901
ene,2019,ene/2019,BENITO JUAREZ,3419,2156,5575,201901
ene,2019,ene/2019,CAPOMAL,2355,0,2355,201901
ene,2019,ene/2019,CENTRO,100300,33593.2,133893.2,201901
ene,2019,ene/2019,CERRO,17506,16989.7,34495.7,201901
ene,2019,ene/2019,EMILIO M. GONZALEZ,3996,0,3996,201901
ene,2019,ene/2019,GUAYABAL,0,0,0,201901
ene,2019,ene/2019,LA LADRILLERA,2107,3157.1,5264.1,201901
ene,2019,ene/2019,LA REDONDA,10081,1801,11882,201901
ene,2019,ene/2019,LINDAVISTA,7362,6681.2,14043.2,201901
ene,2019,ene/2019,RASTRO,8292,4436.7,12728.7,201901
ene,2019,ene/2019,REY NAYAR,14993,8246.3,23239.3,201901
ene,2019,ene/2019,SAN ANTONIO,12402,6496.9,18898.9,201901
ene,2019,ene/2019,TALPITA,15096,8032.6,23128.6,201901
ene,2019,ene/2019,TIJUANITA,16094,14720.7,30814.7,201901
ene,2019,ene/2019,TIRO AL BLANCO,5397,1138,6535,201901
ene,2019,ene/2019,UNIDAD DEPORTIVA,4137,1449.6,5586.6,201901
feb,2019,feb/2019,ACHOTA,2291,3413.5,5704.5,201902
feb,2019,feb/2019,BENITO JUAREZ,1265,6465.6,7730.6,201902
feb,2019,feb/2019,CAPOMAL,270,3660.6,3930.6,201902
feb,2019,feb/2019,CENTRO,12036,13207.1,25243.1,201902
feb,2019,feb/2019,CERRO,3233,2405.2,5638.2,201902
feb,2019,feb/2019,EMILIO M. GONZALEZ,0,0,0,201902
feb,2019,feb/2019,GUAYABAL,0,0,0,201902
feb,2019,feb/2019,LA LADRILLERA,103,545.3,648.3,201902
feb,2019,feb/2019,LA REDONDA,2190,7327.3,9517.3,201902
feb,2019,feb/2019,LINDAVISTA,258,3188.6,3446.6,201902
feb,2019,feb/2019,RASTRO,2887,5082.28,7969.28,201902
feb,2019,feb/2019,REY NAYAR,2389,3891.4,6280.4,201902
feb,2019,feb/2019,SAN ANTONIO,2593,10964.4,13557.4,201902
feb,2019,feb/2019,TALPITA,3865,6265.5,10130.5,201902
feb,2019,feb/2019,TIJUANITA,5400,4262,9662,201902
feb,2019,feb/2019,TIRO AL BLANCO,750,1036,1786,201902
feb,2019,feb/2019,UNIDAD DEPORTIVA,648,3681.9,4329.9,201902
mar,2019,mar/2019,ACHOTA,5376,7077,12453,201903
mar,2019,mar/2019,BENITO JUAREZ,630,836,1466,201903
mar,2019,mar/2019,CAPOMAL,595,80,675,201903
mar,2019,mar/2019,CENTRO,5712,8219.1,13931.1,201903
mar,2019,mar/2019,CERRO,2548,6050.5,8598.5,201903
mar,2019,mar/2019,EMILIO M. GONZALEZ,0,0,0,201903
mar,2019,mar/2019,GUAYABAL,40,536,576,201903
mar,2019,mar/2019,LA LADRILLERA,40,0,40,201903
mar,2019,mar/2019,LA REDONDA,2417,706,3123,201903
mar,2019,mar/2019,LINDAVISTA,270,3559.1,3829.1,201903
mar,2019,mar/2019,RASTRO,745,356,1101,201903
mar,2019,mar/2019,REY NAYAR,2283,1126.5,3409.5,201903
mar,2019,mar/2019,SAN ANTONIO,4000,3911.9,7911.9,201903
mar,2019,mar/2019,TALPITA,3443,4200,7643,201903
mar,2019,mar/2019,TIJUANITA,3920,4781.3,8701.3,201903
mar,2019,mar/2019,TIRO AL BLANCO,590,501,1091,201903
mar,2019,mar/2019,UNIDAD DEPORTIVA,178,470,648,201903
abr,2019,abr/2019,ACHOTA,1370,6508.6,7878.6,201904
abr,2019,abr/2019,BENITO JUAREZ,195,669.7,864.7,201904
abr,2019,abr/2019,CAPOMAL,183,1064,1247,201904
abr,2019,abr/2019,CENTRO,6831,14473.8,21304.8,201904
abr,2019,abr/2019,CERRO,2708,10038.7,12746.7,201904
abr,2019,abr/2019,EMILIO M. GONZALEZ,40,418.8,458.8,201904
abr,2019,abr/2019,GUAYABAL,0,0,0,201904
abr,2019,abr/2019,LA LADRILLERA,126,3134.4,3260.4,201904
abr,2019,abr/2019,LA REDONDA,1197,1817.7,3014.7,201904
abr,2019,abr/2019,LINDAVISTA,775,544,1319,201904
abr,2019,abr/2019,RASTRO,990,372,1362,201904
abr,2019,abr/2019,REY NAYAR,1846,8931.8,10777.8,201904
abr,2019,abr/2019,SAN ANTONIO,1018,2703.4,3721.4,201904
abr,2019,abr/2019,TALPITA,1081,3652.7,4733.7,201904
abr,2019,abr/2019,TIJUANITA,1895,9288.1,11183.1,201904
abr,2019,abr/2019,TIRO AL BLANCO,195,4699.1,4894.1,201904
abr,2019,abr/2019,UNIDAD DEPORTIVA,281,592,873,201904
may,2019,may/2019,ACHOTA,2217,6226.7,8443.7,201905
may,2019,may/2019,BENITO JUAREZ,40,200,240,201905
may,2019,may/2019,CAPOMAL,126,612,738,201905
may,2019,may/2019,CENTRO,7431,43366.4,50797.4,201905
may,2019,may/2019,CERRO,3736,4280.7,8016.7,201905
may,2019,may/2019,EMILIO M. GONZALEZ,0,0,0,201905
may,2019,may/2019,GUAYABAL,0,0,0,201905
may,2019,may/2019,LA LADRILLERA,80,618,698,201905
may,2019,may/2019,LA REDONDA,860,4495.8,5355.8,201905
may,2019,may/2019,LINDAVISTA,395,2965.6,3360.6,201905
may,2019,may/2019,RASTRO,253,1515,1768,201905
may,2019,may/2019,REY NAYAR,1430,947,2377,201905
may,2019,may/2019,SAN ANTONIO,345,9630.2,9975.2,201905
may,2019,may/2019,TALPITA,1729,5125.6,6854.6,201905
may,2019,may/2019,TIJUANITA,2045,5366.4,7411.4,201905
may,2019,may/2019,TIRO AL BLANCO,265,387,652,201905
may,2019,may/2019,UNIDAD DEPORTIVA,304,2143,2447,201905
jun,2019,jun/2019,ACHOTA,2131,4458.6,6589.6,201906
jun,2019,jun/2019,BENITO JUAREZ,40,1624.4,1664.4,201906
jun,2019,jun/2019,CAPOMAL,1771,3321.2,5092.2,201906
jun,2019,jun/2019,CENTRO,5890,22128.3,28018.3,201906
jun,2019,jun/2019,CERRO,2899,3784.8,6683.8,201906
jun,2019,jun/2019,EMILIO M. GONZALEZ,0,0,0,201906
jun,2019,jun/2019,GUAYABAL,0,1085,1085,201906
jun,2019,jun/2019,LA LADRILLERA,103,301.2,404.2,201906
jun,2019,jun/2019,LA REDONDA,1282,2622.7,3904.7,201906
jun,2019,jun/2019,LINDAVISTA,420,7935.8,8355.8,201906
jun,2019,jun/2019,RASTRO,441,1098,1539,201906
jun,2019,jun/2019,REY NAYAR,430,6945.6,7375.6,201906
jun,2019,jun/2019,SAN ANTONIO,755,1325,2080,201906
jun,2019,jun/2019,TALPITA,989,2963.7,3952.7,201906
jun,2019,jun/2019,TIJUANITA,1485,7588.3,9073.3,201906
jun,2019,jun/2019,TIRO AL BLANCO,481,976,1457,201906
jun,2019,jun/2019,UNIDAD DEPORTIVA,293,1638,1931,201906
jul,2019,jul/2019,ACHOTA,1279,24825.2,26104.2,201907
jul,2019,jul/2019,BENITO JUAREZ,155,1863.5,2018.5,201907
jul,2019,jul/2019,CAPOMAL,75,340,415,201907
jul,2019,jul/2019,CENTRO,3940,18650.1,22590.1,201907
jul,2019,jul/2019,CERRO,1439,30172.4,31611.4,201907
jul,2019,jul/2019,EMILIO M. GONZALEZ,40,392,432,201907
jul,2019,jul/2019,GUAYABAL,0,0,0,201907
jul,2019,jul/2019,LA LADRILLERA,115,1530.8,1645.8,201907
jul,2019,jul/2019,LA REDONDA,994,1071,2065,201907
jul,2019,jul/2019,LINDAVISTA,270,4116.45,4386.45,201907
jul,2019,jul/2019,RASTRO,430,4744,5174,201907
jul,2019,jul/2019,REY NAYAR,1685,19689.3,21374.3,201907
jul,2019,jul/2019,SAN ANTONIO,258,868,1126,201907
jul,2019,jul/2019,TALPITA,533,9591.7,10124.7,201907
jul,2019,jul/2019,TIJUANITA,1705,28006.8,29711.8,201907
jul,2019,jul/2019,TIRO AL BLANCO,115,910.9,1025.9,201907
jul,2019,jul/2019,UNIDAD DEPORTIVA,201,1428,1629,201907
ago,2019,ago/2019,ACHOTA,758,9336,10094,201908
ago,2019,ago/2019,BENITO JUAREZ,40,326.4,366.4,201908
ago,2019,ago/2019,CAPOMAL,276,4218.4,4494.4,201908
ago,2019,ago/2019,CENTRO,2327,9090.4,11417.4,201908
ago,2019,ago/2019,CERRO,521,4984.2,5505.2,201908
ago,2019,ago/2019,EMILIO M. GONZALEZ,0,0,0,201908
ago,2019,ago/2019,GUAYABAL,0,0,0,201908
ago,2019,ago/2019,LA LADRILLERA,218,8049,8267,201908
ago,2019,ago/2019,LA REDONDA,321,4374.6,4695.6,201908
ago,2019,ago/2019,LINDAVISTA,150,4897.6,5047.6,201908
ago,2019,ago/2019,RASTRO,0,572.5,572.5,201908
ago,2019,ago/2019,REY NAYAR,1007,24008.9,25015.9,201908
ago,2019,ago/2019,SAN ANTONIO,505,5820.4,6325.4,201908
ago,2019,ago/2019,TALPITA,2045,13921,15966,201908
ago,2019,ago/2019,TIJUANITA,1760,10507.6,12267.6,201908
ago,2019,ago/2019,TIRO AL BLANCO,528,4246.5,4774.5,201908
ago,2019,ago/2019,UNIDAD DEPORTIVA,419,4903.8,5322.8,201908
sep,2019,sep/2019,ACHOTA,1027,2373,3400,201909
sep,2019,sep/2019,BENITO JUAREZ,300,600,900,201909
sep,2019,sep/2019,CAPOMAL,0,40,40,201909
sep,2019,sep/2019,CENTRO,3687,8006.8,11693.8,201909
sep,2019,sep/2019,CERRO,366,5282.7,5648.7,201909
sep,2019,sep/2019,EMILIO M. GONZALEZ,40,1145,1185,201909
sep,2019,sep/2019,GUAYABAL,0,0,0,201909
sep,2019,sep/2019,LA LADRILLERA,40,0,40,201909
sep,2019,sep/2019,LA REDONDA,0,721.8,721.8,201909
sep,2019,sep/2019,LINDAVISTA,327,654,981,201909
sep,2019,sep/2019,RASTRO,368,15637.4,16005.4,201909
sep,2019,sep/2019,REY NAYAR,75,275,350,201909
sep,2019,sep/2019,SAN ANTONIO,320,680,1000,201909
sep,2019,sep/2019,TALPITA,178,4362.5,4540.5,201909
sep,2019,sep/2019,TIJUANITA,695,2930,3625,201909
sep,2019,sep/2019,TIRO AL BLANCO,75,675,750,201909
sep,2019,sep/2019,UNIDAD DEPORTIVA,201,213,414,201909
oct,2019,oct/2019,ACHOTA,563,3602,4165,201910
oct,2019,oct/2019,BENITO JUAREZ,534,2902,3436,201910
oct,2019,oct/2019,CAPOMAL,40,316,356,201910
oct,2019,oct/2019,CENTRO,1754,5132,6886,201910
oct,2019,oct/2019,CERRO,590,3344.2,3934.2,201910
oct,2019,oct/2019,EMILIO M. GONZALEZ,0,0,0,201910
oct,2019,oct/2019,GUAYABAL,0,0,0,201910
oct,2019,oct/2019,LA LADRILLERA,103,63,166,201910
oct,2019,oct/2019,LA REDONDA,126,927,1053,201910
oct,2019,oct/2019,LINDAVISTA,345,425,770,201910
oct,2019,oct/2019,RASTRO,189,3277.8,3466.8,201910
oct,2019,oct/2019,REY NAYAR,972,4608.2,5580.2,201910
oct,2019,oct/2019,SAN ANTONIO,155,5317.4,5472.4,201910
oct,2019,oct/2019,TALPITA,40,398,438,201910
oct,2019,oct/2019,TIJUANITA,970,2386,3356,201910
oct,2019,oct/2019,TIRO AL BLANCO,265,1542,1807,201910
oct,2019,oct/2019,UNIDAD DEPORTIVA,229,211,440,201910
nov,2019,nov/2019,ACHOTA,700,5561.8,6261.8,201911
nov,2019,nov/2019,BENITO JUAREZ,40,800,840,201911
nov,2019,nov/2019,CAPOMAL,115,2101.9,2216.9,201911
nov,2019,nov/2019,CENTRO,3841,22202.5,26043.5,201911
nov,2019,nov/2019,CERRO,561,1720.3,2281.3,201911
nov,2019,nov/2019,EMILIO M. GONZALEZ,0,0,0,201911
nov,2019,nov/2019,GUAYABAL,0,0,0,201911
nov,2019,nov/2019,LA LADRILLERA,115,225,340,201911
nov,2019,nov/2019,LA REDONDA,298,3301.8,3599.8,201911
nov,2019,nov/2019,LINDAVISTA,120,200,320,201911
nov,2019,nov/2019,RASTRO,138,1514.6,1652.6,201911
nov,2019,nov/2019,REY NAYAR,757,3289,4046,201911
nov,2019,nov/2019,SAN ANTONIO,286,1818.7,2104.7,201911
nov,2019,nov/2019,TALPITA,143,378,521,201911
nov,2019,nov/2019,TIJUANITA,1065,13292,14357,201911
nov,2019,nov/2019,TIRO AL BLANCO,591,3105.8,3696.8,201911
nov,2019,nov/2019,UNIDAD DEPORTIVA,0,165,165,201911
dic,2019,dic/2019,ACHOTA,5490,107567.7,113057.7,201912
dic,2019,dic/2019,BENITO JUAREZ,1365,33789.4,35154.4,201912
dic,2019,dic/2019,CAPOMAL,645,17308.8,17953.8,201912
dic,2019,dic/2019,CENTRO,17187,275411.3,292598.3,201912
dic,2019,dic/2019,CERRO,5574,123143.9,128717.9,201912
dic,2019,dic/2019,EMILIO M. GONZALEZ,368,6768,7136,201912
dic,2019,dic/2019,GUAYABAL,190,8322.4,8512.4,201912
dic,2019,dic/2019,LA LADRILLERA,1184,20423.5,21607.5,201912
dic,2019,dic/2019,LA REDONDA,3196,72892.1,76088.1,201912
dic,2019,dic/2019,LINDAVISTA,2506,49347.2,51853.2,201912
dic,2019,dic/2019,RASTRO,2217,57554.4,59771.4,201912
dic,2019,dic/2019,REY NAYAR,4209,91083.3,95292.3,201912
dic,2019,dic/2019,SAN ANTONIO,1865,38455,40320,201912
dic,2019,dic/2019,TALPITA,3254,59210.5,62464.5,201912
dic,2019,dic/2019,TIJUANITA,8043,137267.9,145310.9,201912
dic,2019,dic/2019,TIRO AL BLANCO,1796,32831.7,34627.7,201912
dic,2019,dic/2019,UNIDAD DEPORTIVA,1305,16097,17402,201912
ene,2020,ene/2020,ACHOTA,27819,34948.4,62767.4,202001
ene,2020,ene/2020,BENITO JUAREZ,3603,10819.3,14422.3,202001
ene,2020,ene/2020,CAPOMAL,1954,15157.8,17111.8,202001
ene,2020,ene/2020,CENTRO,98466,89423.5,187889.5,202001
ene,2020,ene/2020,CERRO,24364,36748.25,61112.25,202001
ene,2020,ene/2020,EMILIO M. GONZALEZ,2909,4088.5,6997.5,202001
ene,2020,ene/2020,GUAYABAL,0,4549.7,4549.7,202001
ene,2020,ene/2020,LA LADRILLERA,2458,6150.4,8608.4,202001
ene,2020,ene/2020,LA REDONDA,11697,35484.9,47181.9,202001
ene,2020,ene/2020,LINDAVISTA,7355,13589.5,20944.5,202001
ene,2020,ene/2020,RASTRO,9228,15156.3,24384.3,202001
ene,2020,ene/2020,REY NAYAR,15739,45880.7,61619.7,202001
ene,2020,ene/2020,SAN ANTONIO,8464,30916.6,39380.6,202001
ene,2020,ene/2020,TALPITA,22401,40880.15,63281.15,202001
ene,2020,ene/2020,TIJUANITA,15340,22776.3,38116.3,202001
ene,2020,ene/2020,TIRO AL BLANCO,6336,6744,13080,202001
ene,2020,ene/2020,UNIDAD DEPORTIVA,3078,3845.3,6923.3,202001
feb,2020,feb/2020,ACHOTA,4306,13288.7,17594.7,202002
feb,2020,feb/2020,BENITO JUAREZ,1020,483,1503,202002
feb,2020,feb/2020,CAPOMAL,862,3776.8,4638.8,202002
feb,2020,feb/2020,CENTRO,18139,11520.4,29659.4,202002
feb,2020,feb/2020,CERRO,5346,9429.6,14775.6,202002
feb,2020,feb/2020,EMILIO M. GONZALEZ,1248,347,1595,202002
feb,2020,feb/2020,GUAYABAL,0,192.6,192.6,202002
feb,2020,feb/2020,LA LADRILLERA,147,12336.8,12483.8,202002
feb,2020,feb/2020,LA REDONDA,4396,3827.2,8223.2,202002
feb,2020,feb/2020,LINDAVISTA,1455,3605,5060,202002
feb,2020,feb/2020,RASTRO,1158,7511.8,8669.8,202002
